CustomerKey,FirstName,LastName,MaritalStatus,Gender,YearlyIncome,Education,Occupation,City,StateProvince,Country,NumberOfOrders,TotalQuantity,TotalAmount
11000,Jon,Yang,M,M,"$90,000.00 ",Bachelors,Professional,Rockhampton,Queensland,Australia,8,8,"$8,248.99 "
11001,Eugene,Huang,S,M,"$60,000.00 ",Bachelors,Professional,Seaford,Victoria,Australia,11,11,"$6,383.88 "
11002,Ruben,Torres,M,M,"$60,000.00 ",Bachelors,Professional,Hobart,Tasmania,Australia,4,4,"$8,114.04 "
11003,Christy,Zhu,S,F,"$70,000.00 ",Bachelors,Professional,North Ryde,New South Wales,Australia,9,9,"$8,139.29 "
11004,Elizabeth,Johnson,S,F,"$80,000.00 ",Bachelors,Professional,Wollongong,New South Wales,Australia,6,6,"$8,196.01 "
11005,Julio,Ruiz,S,M,"$70,000.00 ",Bachelors,Professional,East Brisbane,Queensland,Australia,6,6,"$8,121.33 "
11006,Janet,Alvarez,S,F,"$70,000.00 ",Bachelors,Professional,Matraville,New South Wales,Australia,5,5,"$8,119.03 "
11007,Marco,Mehta,M,M,"$60,000.00 ",Bachelors,Professional,Warrnambool,Victoria,Australia,8,8,"$8,211.00 "
11008,Rob,Verhoff,S,F,"$60,000.00 ",Bachelors,Professional,Bendigo,Victoria,Australia,7,7,"$8,106.31 "
11009,Shannon,Carlson,S,M,"$70,000.00 ",Bachelors,Professional,Hervey Bay,Queensland,Australia,5,5,"$8,091.33 "
11010,Jacquelyn,Suarez,S,F,"$70,000.00 ",Bachelors,Professional,East Brisbane,Queensland,Australia,4,4,"$8,088.04 "
11011,Curtis,Lu,M,M,"$60,000.00 ",Bachelors,Professional,East Brisbane,Queensland,Australia,4,4,"$8,133.04 "
11012,Lauren,Walker,M,F,"$100,000.00 ",Bachelors,Management,Bremerton,Washington,United States,5,5,$81.26 
11013,Ian,Jenkins,M,M,"$100,000.00 ",Bachelors,Management,Lebanon,Oregon,United States,5,5,$113.96 
11014,Sydney,Bennett,S,F,"$100,000.00 ",Bachelors,Management,Redmond,Washington,United States,6,6,$138.45 
11015,Chloe,Young,S,F,"$30,000.00 ",Partial College,Skilled Manual,Burbank,California,United States,3,3,"$2,500.97 "
11016,Wyatt,Hill,M,M,"$30,000.00 ",Partial College,Skilled Manual,Imperial Beach,California,United States,3,3,"$2,332.28 "
11017,Shannon,Wang,S,F,"$20,000.00 ",High School,Skilled Manual,Sunbury,Victoria,Australia,4,4,"$6,434.31 "
