customer_sk,customer_id,home_store,customer_name,customer_email,customer_since,loyalty_card_number,birthdate,gender,ingest_time
1,1,32-20 Broadway,Kelly Key,Venus@adipiscing.edu,2017-01-04 00:00:00.0000000,908-424-2890,1950-05-29 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
2,2,32-20 Broadway,Clark Schroeder,Nora@fames.gov,2017-01-07 00:00:00.0000000,032-732-6308,1950-07-30 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
3,3,32-20 Broadway,Elvis Cardenas,Brianna@tellus.edu,2017-01-10 00:00:00.0000000,459-375-9187,1950-09-30 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
4,4,32-20 Broadway,Rafael Estes,Ina@non.gov,2017-01-13 00:00:00.0000000,576-640-9226,1950-12-01 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
5,5,32-20 Broadway,Colin Lynn,Dale@Integer.com,2017-01-15 00:00:00.0000000,344-674-6569,1951-02-01 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
6,6,32-20 Broadway,Igor Beach,Caleb@morbi.net,2017-01-18 00:00:00.0000000,114-126-1992,1951-04-04 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
7,7,32-20 Broadway,Scott Holden,Yen@Integer.edu,2017-01-21 00:00:00.0000000,384-074-3606,1951-06-05 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
8,8,32-20 Broadway,Keegan Ayala,Tana@sociis.com,2017-01-24 00:00:00.0000000,257-308-7675,1951-08-07 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
9,9,32-20 Broadway,Amir Byers,Madeson@malesuada.us,2017-01-26 00:00:00.0000000,931-925-0273,1951-10-08 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
10,10,32-20 Broadway,Magee Malone,Anjolie@sapien.gov,2017-01-29 00:00:00.0000000,359-150-6747,1951-12-09 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
11,11,32-20 Broadway,Dolan Petty,Kim@convallis.edu,2017-02-01 00:00:00.0000000,547-881-4488,1952-02-09 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
12,12,32-20 Broadway,Wang Hebert,Hollee@lorem.net,2017-02-04 00:00:00.0000000,605-014-6218,1952-04-11 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
13,13,32-20 Broadway,Wayne David,Slade@sapien.edu,2017-02-06 00:00:00.0000000,430-935-8698,1952-06-12 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
14,14,32-20 Broadway,Colin Fernandez,Thaddeus@non.com,2017-02-09 00:00:00.0000000,703-178-5883,1952-08-13 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
15,15,32-20 Broadway,Holmes Blankenship,Marvin@accumsan.us,2017-02-12 00:00:00.0000000,959-439-4036,1952-10-15 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
16,16,32-20 Broadway,Ali French,Uriah@magnis.org,2017-02-15 00:00:00.0000000,169-057-5893,1952-12-16 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
17,17,32-20 Broadway,Josiah Burton,Sacha@Nullam.edu,2017-02-17 00:00:00.0000000,373-811-5424,1953-02-16 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
18,18,32-20 Broadway,Drew Skinner,Rashad@faucibus.net,2017-02-20 00:00:00.0000000,981-655-9539,1953-04-19 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
19,19,32-20 Broadway,Henry Wilcox,Dexter@nisl.gov,2017-02-23 00:00:00.0000000,833-172-4578,1953-06-20 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
20,20,32-20 Broadway,Nathan Riggs,Iris@aptent.com,2017-02-26 00:00:00.0000000,639-354-7929,1953-08-21 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
21,21,32-20 Broadway,Mufutau Rosa,Haviva@inceptos.gov,2017-02-28 00:00:00.0000000,097-053-2704,1953-10-22 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
22,22,32-20 Broadway,Channing Larson,Marny@dis.edu,2017-03-03 00:00:00.0000000,238-527-1012,1953-12-23 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
23,23,32-20 Broadway,Raphael Watkins,Libby@libero.com,2017-03-06 00:00:00.0000000,865-048-2894,1954-02-24 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
24,24,32-20 Broadway,Avram Cooper,Sandra@adipiscing.org,2017-03-09 00:00:00.0000000,411-854-0502,1954-04-27 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
25,25,32-20 Broadway,Drake Valentine,Lewis@eget.edu,2017-03-11 00:00:00.0000000,160-817-8375,1954-06-28 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
26,26,32-20 Broadway,Samuel Gallagher,Paloma@ornare.org,2017-03-14 00:00:00.0000000,237-244-8752,1954-08-29 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
27,27,32-20 Broadway,Adrian Carlson,Orlando@mattis.org,2017-03-17 00:00:00.0000000,975-791-8098,1954-10-30 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
28,28,32-20 Broadway,Harding Jarvis,Cathleen@molestie.org,2017-03-20 00:00:00.0000000,423-612-1809,1954-12-31 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
29,29,32-20 Broadway,Jackson Buckley,Phelan@nec.us,2017-03-22 00:00:00.0000000,957-710-5308,1955-03-03 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
30,30,32-20 Broadway,Wing Bush,Lee@eget.us,2017-03-25 00:00:00.0000000,507-966-0978,1955-05-05 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
31,31,32-20 Broadway,Hedley Dorsey,Paki@amet.us,2017-03-28 00:00:00.0000000,295-623-3357,1955-07-06 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
32,32,32-20 Broadway,Griffith Lindsay,Magee@ultricies.gov,2017-03-31 00:00:00.0000000,769-005-9211,1955-09-06 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
33,33,32-20 Broadway,Mason Stout,Dennis@vestibulum.us,2017-04-02 00:00:00.0000000,030-445-7648,1955-11-07 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
34,34,32-20 Broadway,Murphy Mckee,Hunter@Ut.edu,2017-04-05 00:00:00.0000000,264-090-3648,1956-01-08 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
35,35,32-20 Broadway,Colton Ford,Amena@vestibulum.org,2017-04-08 00:00:00.0000000,671-939-9911,1956-03-10 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
36,36,32-20 Broadway,Beck Pearson,Leila@penatibus.com,2017-04-11 00:00:00.0000000,845-486-0693,1956-05-11 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
37,37,32-20 Broadway,Noble Christensen,Nolan@varius.edu,2017-04-13 00:00:00.0000000,758-964-2500,1956-07-12 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
38,38,32-20 Broadway,Xanthus Puckett,Kylynn@aliquam.gov,2017-04-16 00:00:00.0000000,436-942-8673,1956-09-13 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
39,39,32-20 Broadway,Hakeem Bowers,Caldwell@placerat.net,2017-04-19 00:00:00.0000000,913-873-5817,1956-11-14 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
